
		------ eVeryDay --------
		 SIMPLE DATA LOGGING

	      Recording Date: MAR 3, 2012 


	Time	Temperature(C)	LDR reading
	--------------------------------
	20:07	     27.50	709
	20:08	     29.75	762
	20:09	     29.75	760
	20:10	     29.75	771
	20:11	     29.75	767
	20:12	     29.75	766
	20:13	     29.75	766
	20:14	     29.75	772
	20:15	     29.75	777
	20:16	     29.50	778
	20:17	     29.75	771
	20:18	     29.50	766
	20:19	     29.50	765
	20:20	     29.50	769
	20:21	     29.25	766
	20:22	     29.25	765
	20:23	     29.00	770
	20:24	     29.00	769
	20:25	     29.00	772
	20:26	     29.00	769
	20:27	     29.00	768
	
