ref	value	sheet path	location
C1	10 µ	/	B2)
C2	10 µ	/	C3)
C3	100n	/JTAG/	B2)
C4	22p	/JTAG/	B1)
C5	22p	/JTAG/	B1)
C6	100n	/JTAG/	A2)
C7	100n	/JTAG/	A3)
C8	22p	/JTAG/	B4)
C9	100n	/H-ISP/	A1)
C10	100n	/H-ISP/	B2)
C11	100n	/H-ISP/	A5)
C12	22p	/H-ISP/	A1)
C13	22p	/H-ISP/	A1)
C14	100n	/	A2)
C15	100n	/	A3)
C16	100n	/	A3)
C17	1000U	/	A2)
C18	100U	/	A3)
C19	100n	/	B3)
C20	10u	/	C2)
C21	10u	/	B3)
D1	DIODE	/H-ISP/	B4)
D2	DIODE	/H-ISP/	B5)
D3	DIODESCH	/H-ISP/	C4)
D4	LED green	/H-ISP/	A4)
D5	LED orange	/JTAG/	B3)
D6	LED red	/H-ISP/	A3)
D7	LED yellow	/H-ISP/	C4)
J1	DB9	/	C4)
J2	JACK_2P	/	A1)
K1	CONN_3	/JTAG/	A3)
K2	CONN_3	/JTAG/	B3)
K3	CONN_3	/H-ISP/	B4)
K4	CONN_3	/H-ISP/	B3)
P1	CONN HE10	/JTAG/	A4)
P2	CONN-HE10	/JTAG/	B4)
P3	CONN_1	/JTAG/	C3)
P4	CONN HE10	/H-ISP/	B4)
P6	CONN HE10	/H-ISP/	B4)
Q1	BC547	/H-ISP/	C3)
Q2	BC547B	/H-ISP/	C3)
Q3	BC557	/H-ISP/	B3)
R1	1.5k	/JTAG/	B3)
R2	10k	/JTAG/	A2)
R3	10k	/JTAG/	B3)
R4	10k	/JTAG/	B3)
R5	10k	/JTAG/	B3)
R6	10k	/JTAG/	B3)
R7	10k	/JTAG/	C3)
R8	10K	/H-ISP/	C3)
R9	10K	/H-ISP/	B3)
R10	10K	/H-ISP/	C3)
R11	10K	/H-ISP/	B3)
R12	10K	/H-ISP/	A4)
R13	10K	/H-ISP/	A4)
R14	150K	/H-ISP/	A3)
R15	36K	/H-ISP/	A3)
R16	10k	/H-ISP/	A1)
R17	150k	/JTAG/	A3)
R18	1K	/H-ISP/	C3)
R19	1k5	/H-ISP/	A4)
R20	1k5	/H-ISP/	A4)
R21	220	/H-ISP/	C4)
R22	36K	/JTAG/	B4)
R23	47k	/H-ISP/	A4)
SW1	SW_PUSH	/H-ISP/	A1)
SW2	SW_PUSH	/H-ISP/	A4)
SW3	SWITCH_INV	/	B4)
SW4	SWITCH_INV	/	B4)
U1	74HC165	/H-ISP/	A5)
U2	79L05	/	A2)
U3	79L12	/	A2)
U4	MAX232	/	C2)
U?1	ATMEGA16	/JTAG/	B2)
U?2	ATMEGA8535	/H-ISP/	A2)
X1	7,3728MHz	/JTAG/	B1)
X2	7,3728MHz	/H-ISP/	A2)
