Field=Comment~String~Comment~125|Field=Description~String~Description~125|Field=Designator~String~Designator~177|Field=Footprint~String~Footprint~109|Field=LibRef~String~LibRef~109|Field=Quantity~Integer~Quantity~105|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~HHO_DRIVE_V1.PrjPCB|ReportField=ProjectFullPath~E:\____NEPER\___PROJETOS\______FREE_ENERGY_HHO\_ELETRONICA\HHO_DRIVE_V1.PrjPCB|ReportField=Title~Bill of Materials For Project [HHO_DRIVE_V1.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~45|ReportField=ReportTime~02:25:32|ReportField=ReportDate~21/05/2015|ReportField=ReportDateTime~21/05/2015 02:25:32|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~21/05/2015|ReportField=CurrentTime~01:09:33|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\____NEPER\___PROJETOS\______FREE_ENERGY_HHO\_ELETRONICA\HHO_DRIVE_V1.SchDoc|ReportField=DocumentName~HHO_DRIVE_V1.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~21/05/2015|ReportField=Organization~|ReportField=ProjectName~HHO_DRIVE_V1.PrjPCB|ReportField=Revision~7|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~HHO DIGITAL DRIVE V1.0|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~HHO_DRIVE_V1.PrjPCB|ReportField=DataSourceFullPath~E:\____NEPER\___PROJETOS\______FREE_ENERGY_HHO\_ELETRONICA\HHO_DRIVE_V1.PrjPCB
µA78M05CKC|Positive-Voltage Regulator|U2|KC03 - Deitado|µA78M05CKC|1
Transistor|General Bipolar Transistor NPN|T1, T2, T3, T4|TO-92 - Large|T-NPN, T-NPN, T-PNP, T-NPN|4
T-HEXFET N|HEXFET Power MOSFET|Q1|TO218 - DEITADO|T-HEXFET N|1
SW-PBST 4 Pins|SW-PBST 4 Pins|S1|SW-PBST 4 Pins - SKHH 17 mm|SW-PBST 4 Pins SKHH|1
Resistor Generic|Generic Resistor|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14|RES 300 CR25|Resistor Generic|14
POT|Potenciometer 3 pins|P-FQ1, P-FQ2, P-FS1, P-FS2|POT 200MIL/400MIL|POT|4
Male Connector 3 pins|Male Connector 3 pins|PW+12V|BR103A|Male Con 3 Pin|1
Male Connector 2 pins|Male Connector 2 pins|COIL1, COIL2, HHO|BR102A|Male Con 2 Pin|3
LED-CPU|LED|D2|LED Red 3mm|LED|1
Disco|SMD Capacitor 1210 size|C6, C9, C11|CAP CER DISK 5MM|CAP_DISCO|3
DIPS 44780 16X02|Display 44780 16x02 com conector 16 pinos|DP1|Display 44780 16x02 com conector|Display 44780 16x02 com conector 16 pinos|1
Cap. Elet.|Capacitor Radial Eletrolitico|C1, C2, C3, C4, C5, C7, C8, C10|CAP ELE RAD 11mm H|CAP_RADIAL_ELETROLITICO|8
BAR 6 PINS|.100 Inch AMPMODU Headers 1-826629-0 (Tyco)|SPI|HEADER BAR 6 PINS|HEADER BAR  6 PINS|1
ATmega8-16PC|8-Bit AVR Microcontroller with 8K Bytes of In-System Programmable Flash Memory|U1|28P3|ATmega8-16PC|1
1N4001|1 Amp General Purpose Rectifier|D1|DO-41|Diode 1N4001|1
