"Bill of Material for "
"On 21/05/2015 at 02:28:43"

"Comment","Pattern","Quantity","Components"

"µA78M05CKC","KC03 - Deitado","1","U2","Positive-Voltage Regulator"
"1N4001","DO-41","1","D1","1 Amp General Purpose Rectifier"
"ATmega8-16PC","28P3","1","U1","8-Bit AVR Microcontroller with 8K Bytes of In-System Programmable Flash Memory"
"BAR 6 PINS","HEADER BAR 6 PINS","1","SPI",".100 Inch AMPMODU Headers 1-826629-0 (Tyco)"
"Cap. Elet.","CAP ELE RAD 11mm H","8","C1, C2, C3, C4, C5, C7, C8, C10","Capacitor Radial Eletrolitico"
"DIPS 44780 16X02","Display 44780 16x02 com conector","1","DP1","Display 44780 16x02 com conector 16 pinos"
"Disco","CAP CER DISK 5MM","3","C6, C9, C11","SMD Capacitor 1210 size"
"LED-CPU","LED Red 3mm","1","D2","LED"
"Male Connector 2 pins","BR102A","3","COIL1, COIL2, HHO","Male Connector 2 pins"
"Male Connector 3 pins","BR103A","1","PW+12V","Male Connector 3 pins"
"POT","POT 200MIL/400MIL","4","P-FQ1, P-FQ2, P-FS1, P-FS2","Potenciometer 3 pins"
"Resistor Generic","RES 300 CR25","14","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14","Generic Resistor"
"SW-PBST 4 Pins","SW-PBST 4 Pins - SKHH 17 mm","1","S1","SW-PBST 4 Pins"
"T-HEXFET N","TO218 - DEITADO","1","Q1","HEXFET Power MOSFET"
"Transistor","TO-92 - Large","4","T1, T2, T3, T4","General Bipolar Transistor NPN"
