

-----------Listening ...


TIMEOUT. Code written
Listing

Point 0: Time- 8, Logic Time+- 1
Point 1: Time- 866, Logic Time+- 1
Point 2: Time- 1714, Logic Time+- 0
Point 3: Time- 2610, Logic Time+- 1
Point 4: Time- 3433, Logic Time+- 0
Point 5: Time- 5190, Logic Time+- 1
Point 6: Time- 6012, Logic Time+- 0
Point 7: Time- 6908, Logic Time+- 1
Point 8: Time- 7730, Logic Time+- 0
Point 9: Time- 8626, Logic Time+- 1
Point 10: Time- 9449, Logic Time+- 0
Point 11: Time- 10345, Logic Time+- 1
Point 12: Time- 11168, Logic Time+- 0
Point 13: Time- 12064, Logic Time+- 1
Point 14: Time- 12887, Logic Time+- 0
Point 15: Time- 13783, Logic Time+- 1
Point 16: Time- 15465, Logic Time+- 0
Point 17: Time- 17221, Logic Time+- 1
Point 18: Time- 18043, Logic Time+- 0
Point 19: Time- 18939, Logic Time+- 1
Point 20: Time- 19762, Logic Time+- 0
Point 21: Time- 20657, Logic Time+- 1
Point 22: Time- 22341, Logic Time+- 0
Point 23: Time- 23210, Logic Time+- 1
Point 24: Time- 0, Logic Time+- 0
Point 25: Time- 0, Logic Time+- 0
Point 26: Time- 0, Logic Time+- 0
Point 27: Time- 0, Logic Time+- 0
Point 28: Time- 0, Logic Time+- 0

-----------Listening ...


TIMEOUT. Code written
Listing

Point 0: Time- 0, Logic Time+- 0
Point 1: Time- 963, Logic Time+- 1
Point 2: Time- 1713, Logic Time+- 0
Point 3: Time- 3541, Logic Time+- 1
Point 4: Time- 4291, Logic Time+- 0
Point 5: Time- 5260, Logic Time+- 1
Point 6: Time- 6010, Logic Time+- 0
Point 7: Time- 6979, Logic Time+- 1
Point 8: Time- 7728, Logic Time+- 0
Point 9: Time- 8697, Logic Time+- 1
Point 10: Time- 9447, Logic Time+- 0
Point 11: Time- 10416, Logic Time+- 1
Point 12: Time- 11166, Logic Time+- 0
Point 13: Time- 12135, Logic Time+- 1
Point 14: Time- 12885, Logic Time+- 0
Point 15: Time- 13854, Logic Time+- 1
Point 16: Time- 15463, Logic Time+- 0
Point 17: Time- 17290, Logic Time+- 1
Point 18: Time- 18041, Logic Time+- 0
Point 19: Time- 19010, Logic Time+- 1
Point 20: Time- 19759, Logic Time+- 0
Point 21: Time- 20728, Logic Time+- 1
Point 22: Time- 22338, Logic Time+- 0
Point 23: Time- 23306, Logic Time+- 1
