#Release 9.2.04i - par J.40
#Copyright (c) 1995-2007 Xilinx, Inc.  All rights reserved.

#Wed Jan 09 07:31:19 2008

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       vga_map.ncd
#OUTPUT FILE:      vga_pad.csv
#PART TYPE:        xc3s200
#SPEED GRADE:      -5
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,,
A3,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,,
A4,,DIFFM,IO_L01P_0/VRN_0,UNUSED,,0,,,,,,,,,,
A5,A<2>,IOB,IO,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
A6,,,VCCAUX,,,,,,,,2.5,,,,,
A7,A<8>,IOB,IO,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
A8,A<13>,IOB,IO_L32P_0/GCLK6,INPUT,LVCMOS25,0,,,,IFD,,,,YES,NONE,
A9,,IOB,IO,UNUSED,,1,,,,,,,,,,
A10,A<7>,IOB,IO_L31N_1/VREF_1,INPUT,LVCMOS25,1,,,,NONE,,,,NO,NONE,
A11,,,VCCAUX,,,,,,,,2.5,,,,,
A12,,IOB,IO,UNUSED,,1,,,,,,,,,,
A13,,DIFFS,IO_L10N_1/VREF_1,UNUSED,,1,,,,,,,,,,
A14,,DIFFS,IO_L01N_1/VRP_1,UNUSED,,1,,,,,,,,,,
A15,,,TDO,,,,,,,,,,,,,
A16,,,GND,,,,,,,,,,,,,
B1,,DIFFM,IO_L01P_7/VRN_7,UNUSED,,7,,,,,,,,,,
B2,,,GND,,,,,,,,,,,,,
B3,,,PROG_B,,,,,,,,,,,,,
B4,,DIFFS,IO_L01N_0/VRP_0,UNUSED,,0,,,,,,,,,,
B5,,DIFFM,IO_L25P_0,UNUSED,,0,,,,,,,,,,
B6,,DIFFM,IO_L28P_0,UNUSED,,0,,,,,,,,,,
B7,A<9>,IOB,IO_L30P_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
B8,clk,IOB,IO_L32N_0/GCLK7,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
B9,,,GND,,,,,,,,,,,,,
B10,A<15>,IOB,IO_L31P_1,INPUT,LVCMOS25,1,,,,NONE,,,,NO,NONE,
B11,O<1>,IOB,IO_L29N_1,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
B12,,DIFFS,IO_L27N_1,UNUSED,,1,,,,,,,,,,
B13,,DIFFM,IO_L10P_1,UNUSED,,1,,,,,,,,,,
B14,,DIFFM,IO_L01P_1/VRN_1,UNUSED,,1,,,,,,,,,,
B15,,,GND,,,,,,,,,,,,,
B16,,DIFFS,IO_L01N_2/VRP_2,UNUSED,,2,,,,,,,,,,
C1,,DIFFS,IO_L01N_7/VRP_7,UNUSED,,7,,,,,,,,,,
C2,,DIFFS,IO_L16N_7,UNUSED,,7,,,,,,,,,,
