;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 9/11/2011 11:05:21 AM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x040B940C  	JMP        1035
0x0004	0x02A7940C  	JMP        679
0x0008	0x0000940C  	JMP        0
0x000C	0x0000940C  	JMP        0
0x0010	0x0000940C  	JMP        0
0x0014	0x0000940C  	JMP        0
0x0018	0x0000940C  	JMP        0
0x001C	0x0000940C  	JMP        0
0x0020	0x0000940C  	JMP        0
0x0024	0x0000940C  	JMP        0
0x0028	0x0000940C  	JMP        0
0x002C	0x0000940C  	JMP        0
0x0030	0x0000940C  	JMP        0
0x0034	0x0000940C  	JMP        0
0x0038	0x0000940C  	JMP        0
0x003C	0x0000940C  	JMP        0
0x0040	0x0000940C  	JMP        0
0x0044	0x0000940C  	JMP        0
0x0048	0x0000940C  	JMP        0
0x004C	0x03F2940C  	JMP        1010
0x0050	0x0000940C  	JMP        0
_main:
0x0816	0xE5BF    	LDI        R27, 95
0x0818	0xBFBD    	OUT        SPL+0, R27
0x081A	0xE0B4    	LDI        R27, 4
0x081C	0xBFBE    	OUT        SPL+1, R27
0x081E	0x04E9940E  	CALL       1257
0x0822	0xB7CD    	IN         R28, SPL+0
0x0824	0xB7DE    	IN         R29, SPL+1
0x0826	0x9721    	SBIW       R28, 1
0x0828	0xBFCD    	OUT        SPL+0, R28
0x082A	0xBFDE    	OUT        SPL+1, R29
0x082C	0x9621    	ADIW       R28, 1
;remote.c,258 :: 		void main()
;remote.c,261 :: 		DDD2_bit = 0;
0x082E	0x922F    	PUSH       R2
0x0830	0x923F    	PUSH       R3
0x0832	0x924F    	PUSH       R4
0x0834	0x925F    	PUSH       R5
0x0836	0xB3B1    	IN         R27, DDD2_bit+0
0x0838	0x7FBB    	CBR        R27, 4
0x083A	0xBBB1    	OUT        DDD2_bit+0, R27
;remote.c,262 :: 		Lcd_Init();                        // Initialize LCD
0x083C	0xDD4A    	RCALL      _Lcd_Init+0
;remote.c,263 :: 		Lcd_Cmd(_LCD_CLEAR);               // Clear display
0x083E	0xE0B1    	LDI        R27, 1
0x0840	0x2E2B    	MOV        R2, R27
0x0842	0xDCE5    	RCALL      _Lcd_Cmd+0
;remote.c,264 :: 		Lcd_Cmd(_LCD_CURSOR_OFF);          // Cursor off
0x0844	0xE0BC    	LDI        R27, 12
0x0846	0x2E2B    	MOV        R2, R27
0x0848	0xDCE2    	RCALL      _Lcd_Cmd+0
;remote.c,266 :: 		Lcd_Out(1, 1, "IR RemoteDecoder");
0x084A	0xE6B0    	LDI        R27, lo_addr(?lstr1_remote+0)
0x084C	0x2E4B    	MOV        R4, R27
0x084E	0xE0B0    	LDI        R27, hi_addr(?lstr1_remote+0)
0x0850	0x2E5B    	MOV        R5, R27
0x0852	0xE0B1    	LDI        R27, 1
0x0854	0x2E3B    	MOV        R3, R27
0x0856	0xE0B1    	LDI        R27, 1
0x0858	0x2E2B    	MOV        R2, R27
0x085A	0xDC92    	RCALL      _Lcd_Out+0
;remote.c,267 :: 		Delay_ms(2000);
0x085C	0xEA23    	LDI        R18, 163
0x085E	0xE517    	LDI        R17, lo_addr(SPMCSR)
0x0860	0xE003    	LDI        R16, lo_addr(R3)
L_main40:
0x0862	0x950A    	DEC        R16
0x0864	0xF7F1    	BRNE       L_main40
0x0866	0x951A    	DEC        R17
0x0868	0xF7E1    	BRNE       L_main40
0x086A	0x952A    	DEC        R18
0x086C	0xF7D1    	BRNE       L_main40
0x086E	0x0000    	NOP
;remote.c,268 :: 		Lcd_Cmd(_LCD_CLEAR);               // Clear display
0x0870	0xE0B1    	LDI        R27, 1
0x0872	0x2E2B    	MOV        R2, R27
0x0874	0xDCCC    	RCALL      _Lcd_Cmd+0
;remote.c,270 :: 		RemoteInit();
0x0876	0xDE44    	RCALL      _RemoteInit+0
;remote.c,272 :: 		while(1)
L_main42:
;remote.c,274 :: 		lcd_data = GetRemoteCmd(1);
0x0878	0xE0B1    	LDI        R27, 1
0x087A	0x2E2B    	MOV        R2, R27
0x087C	0xDC63    	RCALL      _GetRemoteCmd+0
0x087E	0x8308    	STD        Y+0, R16
;remote.c,275 :: 		SREG_I_bit = 0;
0x0880	0xB7BF    	IN         R27, SREG_I_bit+0
0x0882	0x77BF    	CBR        R27, 128
0x0884	0xBFBF    	OUT        SREG_I_bit+0, R27
;remote.c,276 :: 		Lcd_Cmd(_LCD_CLEAR);
0x0886	0xE0B1    	LDI        R27, 1
0x0888	0x2E2B    	MOV        R2, R27
0x088A	0xDCC1    	RCALL      _Lcd_Cmd+0
;remote.c,277 :: 		if(lcd_data == 0x0A)
0x088C	0x8108    	LDD        R16, Y+0
0x088E	0x300A    	CPI        R16, 10
0x0890	0xF451    	BRNE       L_main44
L__main121:
;remote.c,279 :: 		Lcd_Out(1, 1, "You pressed 1!!");
0x0892	0xE8B2    	LDI        R27, lo_addr(?lstr2_remote+0)
0x0894	0x2E4B    	MOV        R4, R27
0x0896	0xE0B0    	LDI        R27, hi_addr(?lstr2_remote+0)
0x0898	0x2E5B    	MOV        R5, R27
0x089A	0xE0B1    	LDI        R27, 1
0x089C	0x2E3B    	MOV        R3, R27
0x089E	0xE0B1    	LDI        R27, 1
0x08A0	0x2E2B    	MOV        R2, R27
0x08A2	0xDC6E    	RCALL      _Lcd_Out+0
;remote.c,280 :: 		}
0x08A4	0xC050    	RJMP       L_main45
L_main44:
;remote.c,281 :: 		else if(lcd_data == 0x1B)
0x08A6	0x8108    	LDD        R16, Y+0
0x08A8	0x310B    	CPI        R16, 27
0x08AA	0xF451    	BRNE       L_main46
L__main122:
;remote.c,283 :: 		Lcd_Out(1, 1, "You pressed 2!!");
0x08AC	0xE7B2    	LDI        R27, lo_addr(?lstr3_remote+0)
0x08AE	0x2E4B    	MOV        R4, R27
0x08B0	0xE0B0    	LDI        R27, hi_addr(?lstr3_remote+0)
0x08B2	0x2E5B    	MOV        R5, R27
0x08B4	0xE0B1    	LDI        R27, 1
0x08B6	0x2E3B    	MOV        R3, R27
0x08B8	0xE0B1    	LDI        R27, 1
0x08BA	0x2E2B    	MOV        R2, R27
0x08BC	0xDC61    	RCALL      _Lcd_Out+0
;remote.c,284 :: 		}
0x08BE	0xC043    	RJMP       L_main47
L_main46:
;remote.c,285 :: 		else if(lcd_data == 0x1F)
0x08C0	0x8108    	LDD        R16, Y+0
0x08C2	0x310F    	CPI        R16, 31
0x08C4	0xF451    	BRNE       L_main48
L__main123:
;remote.c,287 :: 		Lcd_Out(1, 1, "You pressed 3!!");
0x08C6	0xE9B4    	LDI        R27, lo_addr(?lstr4_remote+0)
0x08C8	0x2E4B    	MOV        R4, R27
0x08CA	0xE0B0    	LDI        R27, hi_addr(?lstr4_remote+0)
0x08CC	0x2E5B    	MOV        R5, R27
0x08CE	0xE0B1    	LDI        R27, 1
0x08D0	0x2E3B    	MOV        R3, R27
0x08D2	0xE0B1    	LDI        R27, 1
0x08D4	0x2E2B    	MOV        R2, R27
0x08D6	0xDC54    	RCALL      _Lcd_Out+0
;remote.c,288 :: 		}
0x08D8	0xC036    	RJMP       L_main49
L_main48:
;remote.c,289 :: 		else if(lcd_data == 0x0C)
0x08DA	0x8108    	LDD        R16, Y+0
0x08DC	0x300C    	CPI        R16, 12
0x08DE	0xF451    	BRNE       L_main50
L__main124:
;remote.c,291 :: 		Lcd_Out(1, 1, "You pressed 4!!");
0x08E0	0xECB1    	LDI        R27, lo_addr(?lstr5_remote+0)
0x08E2	0x2E4B    	MOV        R4, R27
0x08E4	0xE0B0    	LDI        R27, hi_addr(?lstr5_remote+0)
0x08E6	0x2E5B    	MOV        R5, R27
0x08E8	0xE0B1    	LDI        R27, 1
0x08EA	0x2E3B    	MOV        R3, R27
0x08EC	0xE0B1    	LDI        R27, 1
0x08EE	0x2E2B    	MOV        R2, R27
0x08F0	0xDC47    	RCALL      _Lcd_Out+0
;remote.c,292 :: 		}
0x08F2	0xC029    	RJMP       L_main51
L_main50:
